1638290670.735199 client started (15012): version 3.2a, socket /private/tmp/tmux-502/default, protocol 8
1638290670.735274 on Darwin 21.1.0 Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64
1638290670.735303 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1638290670.740243 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740250 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740257 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740264 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740272 sending message 112 to peer 0x7feb2a831000 (11 bytes)
1638290670.740278 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740285 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740293 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740299 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740306 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740314 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740323 sending message 112 to peer 0x7feb2a831000 (11 bytes)
1638290670.740331 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740338 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740345 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740352 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740359 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740367 sending message 112 to peer 0x7feb2a831000 (21 bytes)
1638290670.740376 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740383 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.740392 sending message 112 to peer 0x7feb2a831000 (6 bytes)
1638290670.740400 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740409 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.740416 sending message 112 to peer 0x7feb2a831000 (24 bytes)
1638290670.740425 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740433 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.740442 sending message 112 to peer 0x7feb2a831000 (70 bytes)
1638290670.740449 sending message 112 to peer 0x7feb2a831000 (69 bytes)
1638290670.740455 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740462 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.740470 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.740479 sending message 112 to peer 0x7feb2a831000 (24 bytes)
1638290670.740487 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740495 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.740504 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.740511 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.740518 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740525 sending message 112 to peer 0x7feb2a831000 (15 bytes)
1638290670.740534 sending message 112 to peer 0x7feb2a831000 (5 bytes)
1638290670.740544 sending message 104 to peer 0x7feb2a831000 (0 bytes)
1638290670.740552 sending message 110 to peer 0x7feb2a831000 (0 bytes)
1638290670.740560 sending message 107 to peer 0x7feb2a831000 (4 bytes)
1638290670.740568 sending message 105 to peer 0x7feb2a831000 (57 bytes)
1638290670.740576 sending message 105 to peer 0x7feb2a831000 (40 bytes)
1638290670.740585 sending message 105 to peer 0x7feb2a831000 (14 bytes)
1638290670.740593 sending message 105 to peer 0x7feb2a831000 (20 bytes)
1638290670.740602 sending message 105 to peer 0x7feb2a831000 (66 bytes)
1638290670.740611 sending message 105 to peer 0x7feb2a831000 (19 bytes)
1638290670.740621 sending message 105 to peer 0x7feb2a831000 (28 bytes)
1638290670.740629 sending message 105 to peer 0x7feb2a831000 (25 bytes)
1638290670.740635 sending message 105 to peer 0x7feb2a831000 (53 bytes)
1638290670.740658 sending message 105 to peer 0x7feb2a831000 (15 bytes)
1638290670.740665 sending message 105 to peer 0x7feb2a831000 (17 bytes)
1638290670.740673 sending message 105 to peer 0x7feb2a831000 (13 bytes)
1638290670.740680 sending message 105 to peer 0x7feb2a831000 (10 bytes)
1638290670.740689 sending message 105 to peer 0x7feb2a831000 (201 bytes)
1638290670.740697 sending message 105 to peer 0x7feb2a831000 (8 bytes)
1638290670.740705 sending message 105 to peer 0x7feb2a831000 (50 bytes)
1638290670.740713 sending message 105 to peer 0x7feb2a831000 (49 bytes)
1638290670.740721 sending message 105 to peer 0x7feb2a831000 (13 bytes)
1638290670.740729 sending message 105 to peer 0x7feb2a831000 (12 bytes)
1638290670.740738 sending message 105 to peer 0x7feb2a831000 (12 bytes)
1638290670.740747 sending message 105 to peer 0x7feb2a831000 (11 bytes)
1638290670.740756 sending message 105 to peer 0x7feb2a831000 (31 bytes)
1638290670.740764 sending message 105 to peer 0x7feb2a831000 (25 bytes)
1638290670.740772 sending message 105 to peer 0x7feb2a831000 (25 bytes)
1638290670.740781 sending message 105 to peer 0x7feb2a831000 (21 bytes)
1638290670.740788 sending message 105 to peer 0x7feb2a831000 (21 bytes)
1638290670.740795 sending message 105 to peer 0x7feb2a831000 (28 bytes)
1638290670.740802 sending message 105 to peer 0x7feb2a831000 (21 bytes)
1638290670.740808 sending message 105 to peer 0x7feb2a831000 (25 bytes)
1638290670.740816 sending message 105 to peer 0x7feb2a831000 (32 bytes)
1638290670.740822 sending message 105 to peer 0x7feb2a831000 (17 bytes)
1638290670.740830 sending message 105 to peer 0x7feb2a831000 (21 bytes)
1638290670.740840 sending message 105 to peer 0x7feb2a831000 (17 bytes)
1638290670.740849 sending message 105 to peer 0x7feb2a831000 (15 bytes)
1638290670.740857 sending message 105 to peer 0x7feb2a831000 (22 bytes)
1638290670.740864 sending message 106 to peer 0x7feb2a831000 (0 bytes)
1638290670.740883 sending message 200 to peer 0x7feb2a831000 (4 bytes)
1638290670.740893 client loop enter
1638290670.740985 client_signal: Child exited: 20
1638290670.821751 peer 0x7feb2a831000 message 207
1638290670.821776 sending message 208 to peer 0x7feb2a831000 (0 bytes)
1638290785.320809 peer 0x7feb2a831000 message 201
1638290785.320872 sending message 205 to peer 0x7feb2a831000 (0 bytes)
1638290785.321441 peer 0x7feb2a831000 message 204
1638290785.321484 client loop exit
